display,name,revenue_mln,avg_price,parent_category,full_path,issues,fix_action
Автомобили новые,Автомобили новые,3566.4,0.0,Транспортные средства,Транспортные средства/Автомобили,no_price,MPStats refresh
Катализаторы автомобильные,Катализаторы автомобильные,115.6,2368.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Матрешки,Матрешки,102.6,1220.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Дифференциалы автомобильные,Дифференциалы автомобильные,74.6,2336.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Шлиф-ленты,Шлиф-ленты,73.9,811.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Облучатели-рециркуляторы,Облучатели-рециркуляторы,66.9,2841.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Стамески,Стамески,66.4,975.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Туалеты-ведра,Туалеты-ведра,44.3,2444.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Кельмы,Кельмы,43.6,724.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Флейты,Флейты,34.5,1049.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Шаблоны строительные,Шаблоны строительные,31.9,1329.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Вышки-туры,Вышки-туры,29.1,9752.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Плоттеры,Плоттеры,24.7,2467.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Буферы автомобильные,Буферы автомобильные,24.0,733.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Вспомогательные передачи,Вспомогательные передачи,23.6,1271.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Витаминно-минеральные препараты,Витаминно-минеральные препараты,21.3,0.0,Лекарственные препараты,Лекарственные препараты,no_price,MPStats refresh
Кии бильярдные,Кии бильярдные,19.5,1262.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Лапы,Лапы,17.3,1467.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Пиротехника,Пиротехника,15.2,2310.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Ввёртыши,Ввёртыши,14.1,659.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Атласы учебные,Атласы учебные,14.1,477.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Отсадники для рыб,Отсадники для рыб,13.5,971.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Блокировки дифференциалов,Блокировки дифференциалов,13.0,10641.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Выпускные газопроводы,Выпускные газопроводы,12.4,1453.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Препараты для пищеварительной системы,Препараты для пищеварительной системы,11.5,0.0,Здоровье,Здоровье/БАДы/Для пищеварения и обмена веществ,no_price,MPStats refresh
Пессарии,Пессарии,11.4,1903.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Стрелы для лука,Стрелы для лука,11.1,2837.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Оргстекла,Оргстекла,11.1,1082.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Шейки оси автомобильные,Шейки оси автомобильные,10.7,1128.5,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Фетальные допплеры,Фетальные допплеры,9.7,1102.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Дерматологические препараты,Дерматологические препараты,8.9,0.0,Лекарственные препараты,Лекарственные препараты,no_price,MPStats refresh
Недоуздки,Недоуздки,8.8,1367.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Торсионные демпферы,Торсионные демпферы,8.0,1190.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
Этюдники,Этюдники,7.6,1107.0,БЕЗ ПУТИ,,no_path,Поиск пути (Claude)
