display,name,revenue_mln,avg_price,commission_pct,buyout_pct,parent_category,full_path,issues,niche_status,fix_action
Автомобили новые,Автомобили новые,3566.4,0.0,0.5,0.0,Транспортные средства,Транспортные средства/Автомобили,no_price,,MPStats refresh
Матрешки,Матрешки,102.6,1220.0,29.5,0.6923,БЕЗ ПУТИ,,no_path,,Поиск пути
Шлиф-ленты,Шлиф-ленты,73.9,811.0,31.5,0.9318000000000001,БЕЗ ПУТИ,,no_path,,Поиск пути
Плоттеры,Плоттеры,24.7,2467.0,24.5,0.8332999999999999,БЕЗ ПУТИ,,no_path,,Поиск пути
Вспомогательные передачи,Вспомогательные передачи,23.6,1271.0,21.5,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Витаминно-минеральные препараты,Витаминно-минеральные препараты,21.3,0.0,3.0,0.0,Лекарственные препараты,Лекарственные препараты,no_price,,MPStats refresh
Ввёртыши,Ввёртыши,14.1,659.0,27.5,1.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Выпускные газопроводы,Выпускные газопроводы,12.4,1453.5,26.5,0.907,БЕЗ ПУТИ,,no_path,,Поиск пути
Препараты для пищеварительной системы,Препараты для пищеварительной системы,11.5,0.0,3.0,1.0,Здоровье,Здоровье/БАДы/Для пищеварения и обмена веществ,no_price,,MPStats refresh
Стрелы для лука,Стрелы для лука,11.1,2837.0,27.5,0.8992,БЕЗ ПУТИ,,no_path,,Поиск пути
Шейки оси автомобильные,Шейки оси автомобильные,10.7,1128.5,26.5,1.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Дерматологические препараты,Дерматологические препараты,8.9,0.0,3.0,1.0,Лекарственные препараты,Лекарственные препараты,no_price,,MPStats refresh
Недоуздки,Недоуздки,8.8,1367.0,29.5,0.6154,БЕЗ ПУТИ,,no_path,,Поиск пути
Этюдники,Этюдники,7.6,1107.0,29.5,0.8462000000000001,БЕЗ ПУТИ,,no_path,,Поиск пути
Маяки строительные,Маяки строительные,7.4,1001.0,31.5,0.64,БЕЗ ПУТИ,,no_path,,Поиск пути
Шарниры коленчатые,Шарниры коленчатые,7.3,1872.0,21.5,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Наглядные пособия,Наглядные пособия,7.1,674.0,29.5,0.9059999999999999,БЕЗ ПУТИ,,no_path,,Поиск пути
Продукты / Мороженое,Мороженое,7.0,0.0,16.5,1.0,Продукты,Продукты/Замороженная продукция/Мороженое,no_price,,MPStats refresh
Продукты / Коктейли,Коктейли алкогольные,6.7,0.0,9.5,0.0,Продукты,Продукты/Алкоголь/Коктейли/Коктейль алкогольный,no_price,,MPStats refresh
Колодцы,Колодцы,6.5,4027.0,23.5,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Сваи,Сваи,5.9,1474.0,25.5,0.4,БЕЗ ПУТИ,,no_path,,Поиск пути
Багорики,Багорики,5.6,693.0,27.5,0.888,БЕЗ ПУТИ,,no_path,,Поиск пути
Дыхательные контуры,Дыхательные контуры,5.1,692.0,25.5,0.8284999999999999,БЕЗ ПУТИ,,no_path,,Поиск пути
