display,name,niche_status,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales,mpstats_path,issues,is_critical
Сад и дача / Шкафы распашные,Шкафы распашные,,"7,231,515,960","23,674",2650.0%,0.0%,0.0%,220,Мебель/Мебель для хранения/Шкафы/Шкаф распашной,"no_buyout, no_profit",False
Хозяйственные товары,Хозяйственные товары,seasonal,"5,716,922,539",521,2950.0%,0.0%,0.0%,0,Дом/Хозяйственные товары,"no_buyout, no_profit, no_sellers",False
Автомобили новые,Автомобили новые,,"3,566,394,252","2,831,195",50.0%,0.0%,7.0%,20,Транспортные средства/Автомобили,no_buyout,False
Футболки пижамные,Футболки пижамные,seasonal,"1,784,788,902",839,0.0%,0.0%,40.6%,0,Мужчинам/Футболки,"no_commission, no_buyout, no_sellers",False
Дом / Средства для стирки,Средства для стирки,seasonal,"1,582,134,833",714,0.0%,100.0%,37.7%,0,Дом/Бытовая химия/Средства для стирки,"no_commission, no_sellers",False
Здоровье / Для женского здоровья,Страхование здоровья,seasonal,"1,548,906,880",984,2350.0%,100.0%,0.0%,0,Здоровье/БАДы/Для женского здоровья,"no_profit, no_sellers",False
Бамперы для снегоходов,Бамперы для снегоходов,,"1,521,044,997","7,121",2150.0%,0.0%,0.0%,55,Автотовары/Мототовары/Детали корпуса/Бампер для снегохода,"no_buyout, no_profit",False
Женщинам / Шубы натуральные,Шубы чебурашки,seasonal,"1,493,732,577","5,276",0.0%,0.0%,54.4%,0,Женщинам/Большие размеры/Верхняя одежда/Шубы искусственные,"no_commission, no_buyout, no_sellers",False
Женщинам / Ювелирные украшения,Ювелирные украшения,seasonal,"1,401,169,337","4,559",3300.0%,0.0%,0.0%,0,Женщинам/Подарки женщинам/Ювелирные украшения,"no_buyout, no_profit, no_sellers",False
Автотовары / Багажные боксы,Багажные боксы,,"1,179,958,048","8,682",2650.0%,68.3%,0.0%,110,Автотовары/Аксессуары в салон и багажник/Автокресла и аксессуары/Багажные боксы,no_profit,False
Электроника / Цифровые ручки,Цифровые книги,seasonal,"1,046,358,149",211,0.0%,0.0%,0.0%,0,Книги,"no_commission, no_buyout, no_profit, no_sellers",False
Рубашки пижамные,Рубашки пижамные,seasonal,"1,003,971,054",713,0.0%,100.0%,37.6%,0,Мужчинам/Рубашки,"no_commission, no_sellers",False
Мужчинам / Топы,Топы пижамные,seasonal,"924,135,785",494,0.0%,43.8%,29.1%,0,Женщинам/Большие размеры/Одежда для дома/Топы,"no_commission, no_sellers",False
Продукты / Вина,Вина,,"699,750,170","2,140",950.0%,0.0%,0.0%,7,Продукты/Алкоголь/Вина,"no_buyout, no_profit",False
Бытовая техника / Сушильные машины,Сушильные машины,,"622,424,405","58,401",1950.0%,0.0%,0.0%,112,Бытовая техника/Крупная бытовая техника/Стиральные и сушильные машины/Сушильные машины,"no_buyout, no_profit",False
Продукты / Приправы и специи,Специи,seasonal,"467,303,013",312,0.0%,100.0%,12.8%,0,Продукты/Бакалея/Приправы и специи,"no_commission, no_sellers",False
Шорты пижамные,Шорты пижамные,seasonal,"424,103,566",394,0.0%,78.4%,22.0%,0,Детям/Для девочек/Пижамы и сорочки/Пижама,"no_commission, no_sellers",False
Женщинам / Топ,Топсайдеры,seasonal,"385,907,349","2,658",0.0%,54.6%,51.8%,0,Обувь/Мужская/Мокасины и топсайдеры,"no_commission, no_sellers",False
Тяговые аккумуляторные батареи,Тяговые аккумуляторные батареи,seasonal,"360,370,229","11,723",0.0%,100.0%,55.8%,0,Автотовары/Запчасти/Электрооборудование/Запуск и питание/Аккумулятор для автомобиля,"no_commission, no_sellers",False
Продукты / Виски,Виски,,"337,193,909","6,470",950.0%,0.0%,0.0%,5,Продукты/Алкоголь/Крепкие напитки/Виски,"no_buyout, no_profit",False
Удалитель накладных ресниц,Удалитель накладных ресниц,seasonal,"332,224,527",406,0.0%,93.2%,23.0%,0,Красота/Макияж/Глаза/Клей для накладных ресниц,"no_commission, no_sellers",False
Удобрения для комнатных растений,Удобрения для комнатных растений,seasonal,"326,710,607",360,0.0%,100.0%,18.7%,0,Сад и дача/Удобрения и уход за растениями/Удобрения/Удобрение для растений,"no_commission, no_sellers",False
Для ремонта / Рейки декоративные,Рейки нивелирные,seasonal,"241,628,268","9,600",0.0%,50.0%,55.6%,0,Для ремонта/Инструменты и оснастка/Измерительные приборы/Нивелир,"no_commission, no_sellers",False
Женщинам / Свечи,Фитосвечи,seasonal,"220,675,206",312,0.0%,91.3%,12.8%,0,Женщинам/Подарки женщинам/Для дома/Свечи,"no_commission, no_sellers",False
Автотовары / Краскопульты,Пульты игровые,seasonal,"218,734,517","1,667",0.0%,100.0%,48.7%,0,Детям/Детская электроника/Игровая консоль,"no_commission, no_sellers",False
Продукты / Водка,Водка,,"195,379,323","1,099",950.0%,0.0%,0.0%,6,Продукты/Алкоголь/Крепкие напитки/Водка,"no_buyout, no_profit",False
Продукты / Коньяк,Коньяк,,"195,348,073","3,920",950.0%,0.0%,0.0%,6,Продукты/Алкоголь/Крепкие напитки/Коньяк,"no_buyout, no_profit",False
Женщинам / Топ,Мотопомпы,,"191,989,070","3,048",3050.0%,100.0%,0.0%,207,Для ремонта/Силовая техника и оборудование/Мотопомпа,no_profit,False
Продукты / Пиво,Пиво,,"186,355,166",119,950.0%,0.0%,0.0%,2,Продукты/Алкоголь/Пиво,"no_buyout, no_profit",False
Сад и дача / Теплица,Форточки для теплиц,seasonal,"179,717,717",882,0.0%,100.0%,41.4%,0,"Сад и дача/Теплицы, парники, укрывной материал/Теплицы и аксессуары/Комплектующие для теплиц","no_commission, no_sellers",False
Для ремонта / Поролон,Поролон,,"174,907,399","1,700",2800.0%,0.0%,67.9%,186,Для ремонта/Стройматериалы/Изоляционные материалы/Поролон,no_buyout,False
Автотовары / Свечи накаливания,Свечи накаливания,,"172,534,013","1,473",2650.0%,0.0%,66.4%,228,Автотовары/Запчасти/Электрооборудование/Запуск и питание/Свеча накаливания,no_buyout,False
Автотовары / Цепи ГРМ,Цепи строительные,,"171,601,298","1,944",2850.0%,0.0%,67.6%,246,Автотовары/Запчасти/Топливная система/Форсунки/Цепи ГРМ,no_buyout,False
Для ремонта / Вибротехника,Вибротехника,,"160,708,815","5,658",2850.0%,78.3%,0.0%,152,Для ремонта/Силовая техника и оборудование/Вибротехника,no_profit,False
Автотовары / Технический тальк,Технический тальк,,"160,634,507",669,2150.0%,0.0%,0.0%,75,Автотовары/Автокосметика и автохимия/Прочее: автохимия/Технический тальк,"no_buyout, no_profit",False
Сад и дача / Бак для бани,Шайки для бани,seasonal,"158,431,081","3,114",0.0%,100.0%,52.6%,0,Сад и дача/Товары для бани и сауны/Банный текстиль/Набор аксессуаров для бани,"no_commission, no_sellers",False
Красота / Шампуни,Шампуни для бани,seasonal,"145,959,520",168,0.0%,100.0%,0.0%,0,Красота/Аптечная косметика/Крем для бани,"no_commission, no_profit, no_sellers",False
Средства от педикулеза,Средства от педикулеза,seasonal,"143,706,777",723,0.0%,0.0%,37.9%,0,Адаптивные товары/Средства реабилитации,"no_commission, no_buyout, no_sellers",False
Цепочки ювелирная бижутерия,Цепочки ювелирная бижутерия,seasonal,"135,682,387","2,760",0.0%,100.0%,52.0%,0,Аксессуары/Бижутерия/Цепочки/Цепочка,"no_commission, no_sellers",False
Электроника / Цифровые ручки,Цифровые коды,seasonal,"131,224,504","27,500",0.0%,0.0%,56.5%,0,"Электроника/Ноутбуки, компьютеры и периферия/Аксессуары для ноутбуков/Цифровые ручки","no_commission, no_buyout, no_sellers",False
Электроника / Цифровые ручки,Цифровые видеокурсы,seasonal,"131,224,504",370,0.0%,0.0%,19.7%,0,"Электроника/Ноутбуки, компьютеры и периферия/Аксессуары для ноутбуков/Цифровые ручки","no_commission, no_buyout, no_sellers",False
Для ремонта / Сайдинг панели,Сайдинг панели,,"131,096,591","6,472",2600.0%,0.0%,0.0%,69,Для ремонта/Стройматериалы/Облицовка фасада/Сайдинг панель,"no_buyout, no_profit",False
Чокеры ювелирная бижутерия,Чокеры ювелирная бижутерия,seasonal,"114,585,366",564,0.0%,100.0%,32.5%,0,Аксессуары/Бижутерия/Чокеры,"no_commission, no_sellers",False
Мебель / Кресла оператора,Кресла оператора,,"109,158,507","10,875",2600.0%,100.0%,0.0%,39,Мебель/Офисная мебель/Стулья и кресла/Кресло оператора,no_profit,False
Дом / Репелленты,Репелленты,seasonal,"97,658,892",294,0.0%,100.0%,10.1%,0,Дом/Отдых на природе/Репелленты,"no_commission, no_sellers",False
Промышленное оборудование и комплектующие,Промышленное оборудование и комплектующие,,"94,520,791","1,146",3000.0%,0.0%,56.5%,344,Для ремонта/Силовая техника и оборудование/Промышленное оборудование и комплектующие,no_buyout,False
Для ремонта / Канаты такелажные,Канаты такелажные,,"93,527,293",968,2850.0%,0.0%,0.0%,63,Для ремонта/Крепеж/Такелаж/Канат такелажный,"no_buyout, no_profit",False
Шторы и аксессуары,Шторы и аксессуары,seasonal,"88,644,869","4,141",2950.0%,0.0%,0.0%,0,Дом/Шторы/Аксессуары/Аксессуары для штор,"no_buyout, no_profit, no_sellers",False
Красота / Муссы,Муссы мясные,seasonal,"88,330,358","1,319",1650.0%,0.0%,0.0%,0,Продукты/Мясная продукция/Консервы мясные,"no_buyout, no_profit, no_sellers",False
Электроника / Цифровые ручки,Цифровые учебники,seasonal,"88,163,330",304,0.0%,0.0%,11.6%,0,Книги/Образование/Учебник,"no_commission, no_buyout, no_sellers",False
Красота / Шампуни,Шампуни для париков,seasonal,"86,742,831","10,126",0.0%,0.0%,55.6%,0,Красота/Инструменты для парикмахеров/Инструменты и принадлежности/Аксессуары для парикмахеров,"no_commission, no_buyout, no_sellers",False
